G1 F3
E7 E6
F3 D4
E6 E5
D4 B5
E5 E4
B5 D4
E4 E3
D4 B5
G8 E7
B5 D4
E7 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
D4 B5
F5 H4
B5 D4
H4 F5
